CustomerID,Gender,Age,Annual Income ($),Spending Score (1-100),Profession,Work Experience,Family Size,Profession_Status
1,Male,19,15000,39,Healthcare,1,4,Valid
2,Male,21,35000,81,Engineer,3,3,Valid
3,Female,20,86000,6,Engineer,1,1,Valid
4,Female,23,59000,77,Lawyer,0,2,Valid
5,Female,31,38000,40,Entertainment,2,6,Valid
6,Female,22,58000,76,Artist,0,2,Valid
7,Female,35,31000,6,Healthcare,1,3,Valid
8,Female,23,84000,94,Healthcare,1,3,Valid
9,Male,64,97000,3,Engineer,0,3,Valid
10,Female,30,98000,72,Artist,1,4,Valid
11,Male,67,7000,14,Engineer,1,3,Valid
12,Female,35,93000,99,Healthcare,4,4,Valid
13,Female,58,80000,15,Executive,0,5,Valid
14,Female,24,91000,77,Lawyer,1,1,Valid
15,Male,37,19000,13,Doctor,0,1,Valid
16,Male,22,51000,79,Healthcare,1,2,Valid
17,Female,35,29000,35,Homemaker,9,5,Valid
18,Male,20,89000,66,Healthcare,1,6,Valid
19,Male,52,20000,29,Entertainment,1,4,Valid
20,Female,35,62000,98,Artist,0,1,Valid
21,Male,35,96000,35,Homemaker,12,1,Valid
22,Male,25,4000,73,Healthcare,3,4,Valid
23,Female,46,42000,5,Artist,13,2,Valid
24,Male,31,71000,73,Artist,5,2,Valid
25,Female,54,67000,14,Executive,1,3,Valid
26,Male,29,52000,82,Artist,1,3,Valid
27,Female,45,68000,32,Healthcare,9,8,Valid
28,Male,35,78000,61,Artist,1,3,Valid
29,Female,40,18000,31,Artist,0,1,Valid
30,Female,23,20000,87,Artist,5,4,Valid
31,Male,60,39000,4,Artist,0,3,Valid
32,Female,21,34000,73,Doctor,1,2,Valid
33,Male,53,59000,4,Healthcare,1,3,Valid
34,Male,18,62000,92,Homemaker,9,7,Valid
35,Female,49,91000,14,Lawyer,1,2,Valid
36,Female,21,95000,81,Healthcare,3,4,Valid
37,Female,42,14000,17,Doctor,5,1,Valid
38,Female,30,62000,73,Healthcare,1,5,Valid
39,Female,36,9000,26,Artist,8,2,Valid
40,Female,20,69000,75,Artist,8,2,Valid
41,Female,65,25000,35,Artist,4,1,Valid
42,Male,24,85000,92,Healthcare,0,2,Valid
43,Male,48,22000,36,Artist,14,3,Valid
44,Female,31,33000,61,Artist,1,2,Valid
45,Female,49,72000,28,Engineer,8,1,Valid
46,Female,24,3000,65,Lawyer,4,2,Valid
47,Female,50,52000,55,Artist,0,4,Valid
48,Female,27,71000,47,Healthcare,12,1,Valid
49,Female,29,78000,42,Healthcare,0,4,Valid
50,Female,31,25000,42,Engineer,1,1,Valid
51,Female,49,88000,52,Artist,1,2,Valid
52,Male,33,97000,60,Artist,1,2,Valid
53,Female,31,74000,54,Artist,1,1,Valid
54,Male,59,68000,60,Entertainment,0,2,Valid
55,Female,50,18000,45,Unknown,1,1,Invalid
56,Male,47,95000,41,Artist,14,2,Valid
57,Female,51,71000,50,Healthcare,9,4,Valid
58,Male,69,8000,46,Doctor,8,2,Valid
59,Female,27,57000,51,Artist,1,3,Valid
60,Male,53,89000,46,Lawyer,1,6,Valid
61,Male,70,84000,56,Artist,0,2,Valid
62,Male,19,50000,55,Artist,9,2,Valid
63,Female,67,50000,52,Lawyer,0,3,Valid
64,Female,54,48000,59,Lawyer,1,2,Valid
65,Male,63,63000,51,Lawyer,7,2,Valid
66,Male,18,9000,59,Entertainment,0,2,Valid
67,Female,43,3000,50,Doctor,0,2,Valid
68,Female,68,82000,48,Artist,8,4,Valid
69,Male,19,81000,59,Artist,0,4,Valid
70,Female,32,97000,47,Homemaker,2,2,Valid
71,Male,70,91000,55,Healthcare,8,2,Valid
72,Female,47,9000,42,Entertainment,8,2,Valid
73,Female,60,44000,49,Artist,0,5,Valid
74,Female,60,10000,56,Healthcare,8,4,Valid
75,Male,59,89000,47,Artist,0,4,Valid
76,Male,26,49000,54,Homemaker,0,3,Valid
77,Female,45,67000,53,Doctor,0,2,Valid
78,Male,40,99000,48,Artist,4,3,Valid
79,Female,23,97000,52,Engineer,2,2,Valid
80,Female,49,98000,42,Unknown,1,1,Invalid
81,Male,57,52000,51,Healthcare,0,4,Valid
82,Male,38,61000,55,Healthcare,6,3,Valid
83,Male,67,120000,41,Artist,8,1,Valid
84,Female,46,34000,44,Entertainment,8,4,Valid
85,Female,21,24000,57,Unknown,1,3,Invalid
86,Male,48,31000,46,Healthcare,7,5,Valid
87,Female,55,11000,58,Artist,0,3,Valid
88,Female,22,55000,55,Artist,5,2,Valid
89,Female,34,76000,60,Entertainment,7,3,Valid
90,Female,50,56000,46,Doctor,0,2,Valid
91,Female,68,46000,55,Entertainment,0,3,Valid
92,Male,18,36000,41,Artist,1,4,Valid
93,Male,48,88000,49,Artist,1,2,Valid
94,Female,40,31000,40,Entertainment,1,2,Valid
95,Female,32,24000,42,Artist,0,1,Valid
96,Male,24,80000,52,Artist,10,1,Valid
97,Female,47,2000,47,Artist,0,1,Valid
98,Female,27,67000,50,Artist,0,2,Valid
99,Male,48,58000,42,Doctor,1,2,Valid
100,Male,20,80000,49,Engineer,3,3,Valid
101,Female,23,65000,41,Artist,0,4,Valid
102,Female,49,4000,48,Executive,1,7,Valid
103,Male,67,98000,59,Artist,0,3,Valid
104,Male,26,52000,55,Executive,0,5,Valid
105,Male,49,86000,56,Healthcare,10,2,Valid
106,Female,21,82000,42,Doctor,1,2,Valid
107,Female,66,43000,50,Homemaker,3,2,Valid
108,Male,54,78000,46,Lawyer,1,1,Valid
109,Male,68,13000,43,Healthcare,6,5,Valid
110,Male,66,13000,48,Healthcare,9,3,Valid
111,Male,65,34000,52,Entertainment,4,4,Valid
112,Female,19,25000,54,Artist,0,1,Valid
113,Female,38,71000,42,Doctor,1,5,Valid
114,Male,19,2000,46,Artist,1,1,Valid
115,Female,18,97000,48,Executive,0,3,Valid
116,Female,19,51000,50,Executive,8,4,Valid
117,Female,63,9000,43,Lawyer,1,1,Valid
118,Female,49,79000,59,Artist,0,2,Valid
119,Female,51,84000,43,Unknown,2,7,Invalid
120,Female,50,87000,57,Artist,1,2,Valid
121,Male,27,36000,56,Executive,0,3,Valid
122,Female,38,50000,40,Executive,1,4,Valid
123,Female,40,97000,58,Engineer,9,4,Valid
124,Male,39,6000,91,Healthcare,1,3,Valid
125,Female,23,12000,29,Entertainment,9,2,Valid
126,Female,31,46000,77,Unknown,1,2,Invalid
127,Male,43,89000,35,Engineer,0,7,Valid
128,Male,40,4000,95,Artist,0,2,Valid
129,Male,59,38000,11,Engineer,0,2,Valid
130,Male,38,64000,75,Entertainment,8,5,Valid
131,Male,47,66000,9,Executive,9,5,Valid
132,Male,39,26000,75,Lawyer,0,2,Valid
133,Female,25,41000,34,Healthcare,6,4,Valid
134,Female,31,45000,71,Artist,5,1,Valid
135,Male,20,89000,5,Engineer,1,2,Valid
136,Female,29,92000,88,Executive,5,5,Valid
137,Female,44,76000,7,Artist,5,2,Valid
138,Male,32,85000,73,Artist,3,4,Valid
139,Male,19,22000,10,Unknown,8,4,Invalid
140,Female,35,15000,72,Artist,4,4,Valid
141,Female,57,32000,5,Engineer,0,2,Valid
142,Male,32,66000,93,Artist,0,5,Valid
143,Female,28,62000,40,Doctor,5,3,Valid
144,Female,32,85000,87,Lawyer,1,2,Valid
